customer_id,name,birthdate,region_id,customer_segment_id,customer_type
1,Bảo Vũ,1997-03-20,2,2,Individual
2,Hạnh Hoàng Lê,1973-04-21,2,2,Individual
3,Quý cô Khoa Đặng,1966-09-05,3,2,Individual
4,Ánh Bùi,1994-05-29,3,2,Individual
5,Hải Đặng,1987-06-06,3,2,Individual
6,Bác Tú Trần,2001-06-07,3,2,Individual
7,Châu Hữu Trần,1977-08-04,1,2,Individual
8,Nhật Trần,1996-06-03,3,2,Individual
9,Thảo Vũ,1999-01-07,3,1,Individual
10,Trung Dương,1982-05-23,3,2,Individual
11,Lâm Vũ,1971-12-07,3,1,Individual
12,Quý cô Thành Phạm,2006-03-04,3,1,Individual
13,Vũ Mai,1995-11-07,1,1,Individual
14,Anh Tú Lê,1988-08-22,3,2,Individual
15,Vân Lê,2002-08-09,3,1,Individual
16,Cô Lan Vũ,1977-08-26,2,2,Individual
17,Dũng Hoàng,1976-01-28,3,1,Individual
18,Trung Hoàng Mai,1997-05-03,3,1,Individual
19,Bác Trung Bùi,1966-11-17,2,1,Individual
20,Tú Xuân Nguyễn,1973-11-08,2,1,Individual
21,Thành Dương,1993-05-08,1,2,Individual
22,Nhật Trí Nguyễn,1969-04-17,3,2,Individual
23,Hạnh Nguyễn,1992-12-29,3,2,Individual
24,Trung Đặng,1970-06-02,3,2,Individual
25,Chi Nguyễn,1992-03-29,3,2,Individual
26,Bà Duyên Hoàng,1970-03-30,2,1,Individual
27,Huy Bùi,1987-12-22,1,1,Individual
28,Chi Phạm,1991-10-05,3,1,Individual
29,Nhật Hoàng,1984-01-13,3,1,Individual
30,Chị Lâm Vũ,1993-11-23,3,2,Individual
31,Nhiên Phú Dương,2000-01-05,1,2,Individual
32,Ông Thành Mai,1974-01-28,1,1,Individual
33,Nhật Quang Phạm,1981-12-20,1,2,Individual
34,Bà Ánh Bùi,2004-04-28,3,2,Individual
35,Bà Ngọc Nguyễn,1972-11-26,2,2,Individual
36,Chị Linh Lê,1982-08-31,3,1,Individual
37,Tùng Tấn Vũ,1971-09-30,1,2,Individual
38,Hạnh Trần,1981-01-26,1,2,Individual
39,Bác Phúc Lê,1976-09-27,2,1,Individual
40,Hạnh Phạm,1968-10-09,1,2,Individual
41,Khoa Đặng,1978-09-06,1,2,Individual
42,Nhật Mai Nguyễn,1986-07-22,2,1,Individual
43,Kim Văn Nguyễn,1975-01-19,3,1,Individual
44,Anh Huy Nguyễn,1972-07-25,1,1,Individual
45,Cô Ngọc Dương,1985-01-14,1,1,Individual
46,Lâm Đức Hoàng,1989-12-01,3,2,Individual
47,Vân Hoàng,1987-01-31,1,1,Individual
48,Quý cô Vân Mai,1971-12-19,2,2,Individual
49,Bà An Vũ,1977-05-06,3,1,Individual
50,Anh Dũng Trần,1969-10-17,2,1,Individual
51,Hạnh Nguyễn,2002-11-28,3,1,Individual
52,Vân Phạm,1994-05-22,3,1,Individual
53,Anh Khoa Bùi,1971-06-08,3,1,Individual
54,Thành Lê,1977-01-05,3,1,Individual
55,Kim Đức Dương,1999-08-09,2,2,Individual
56,Lâm Mai,1977-03-16,1,2,Individual
57,Hải Dương,1965-08-03,3,1,Individual
58,Thảo Phạm,1983-06-21,1,2,Individual
59,Nhật Phạm,1984-11-19,2,1,Individual
60,Cô Bảo Mai,1996-10-17,3,1,Individual
61,Quý cô Lâm Phạm,2005-08-14,3,2,Individual
62,Quang Bảo Mai,1982-01-30,3,2,Individual
63,Quý cô Hồng Dương,2006-07-27,1,1,Individual
64,Bác Huy Đặng,2003-04-04,1,1,Individual
65,Lâm Vũ,2006-09-10,1,2,Individual
66,Kim Hữu Vũ,1975-08-02,3,1,Individual
67,Vi Trần,1987-12-05,2,1,Individual
68,Vũ Nguyễn,1991-03-18,1,2,Individual
69,Vân Hoàng,2002-07-28,2,1,Individual
70,Linh Vũ,1997-12-02,1,1,Individual
71,Chị Bảo Lê,1974-02-10,3,2,Individual
72,Nhật Mai,1985-02-25,3,1,Individual
73,Nam Mai,1991-09-19,1,2,Individual
74,Hà Trí Phạm,1992-09-09,1,1,Individual
75,Hương Hoàng,1993-05-04,1,1,Individual
76,Hải Mai Nguyễn,1981-12-29,3,2,Individual
77,Chị Thành Bùi,1965-12-28,2,1,Individual
78,Trọng Bùi,1973-10-30,1,1,Individual
79,Tùng Lê,1995-03-09,3,2,Individual
80,Tùng Xuân Lê,1982-11-24,2,2,Individual
81,Tùng Hoàng,2005-03-18,3,1,Individual
82,Anh Hưng Bùi,1999-03-09,1,2,Individual
83,Minh Đức Trần,1979-07-31,1,1,Individual
84,Châu Dương,1968-07-18,3,1,Individual
85,Cô Yến Dương,1994-09-18,1,2,Individual
86,Vũ Tấn Lê,1990-06-21,1,1,Individual
87,Anh Khoa Mai,2004-04-06,2,1,Individual
88,Yến Phạm,1993-07-07,2,1,Individual
89,Vũ Trần,1994-04-14,3,2,Individual
90,Lâm Quang Mai,1980-06-11,1,2,Individual
91,Cô Khoa Trần,1992-09-21,1,1,Individual
92,Lan Phạm,1965-09-17,2,2,Individual
93,Châu Tấn Mai,2007-01-16,3,2,Individual
94,Bà Nhật Hoàng,1991-05-04,2,1,Individual
95,Dương Nguyễn,1973-02-14,2,1,Individual
96,Phúc Đức Đặng,1974-06-25,3,1,Individual
